
AF,109,nl,117,en,118,af,116,nl,118,en,130,no,253,de,301,is,372,it,274,de,308,is,357,it,91,af,116,nl,131,no,90,af,102,nl,123,no,140,af,201,nl,266,es,158,af,190,nl,265,es,86,af,100,nl,124,no,100,af,110,nl,121,en,127,af,212,nl,245,sq,150,af,208,nl,259,sq,285524,nl,427479,af,649192,da,225652,nl,304601,af,463827,da,397208,nl,591599,af,749713,da,379337,nl,454682,af,552411,da,84106,af,853569,nl,1175628,en,53673,af,457066,nl,723641,en,104481,af,1064839,nl,1654024,da,81269,af,658256,nl,1274114,sv,67607,af,872488,nl,1336118,en,47818,af,772034,nl,974851,bs,80211,af,1637945,nl,2487535,en,64427,af,1093973,nl,1789915,en,2465611,af,2810381,nl,3182303,de,2329349,af,2675494,nl,3823736,da,2801206,af,3029100,nl,3407978,de,2669982,af,2855405,nl,3888765,da,7060943,af,15419654,nl,21660044,sv,4249526,af,12677925,nl,23594357,no,8389053,af,16266643,nl,24089427,sv,5365719,af,14405479,nl,24110365,no,6982386,af,27282771,nl,42661265,no,2007894,af,21041558,nl,41416733,no,11061515,af,29693372,nl,50157628,no,4085975,af,22998064,nl,42871080,no,
AR,1780,ar,19585,ur,37293,fa,1863,ar,21055,ur,44458,fa,1921,ar,19859,ur,37333,fa,1969,ar,22483,ur,44320,fa,2187,ar,17214,fa,23945,ur,2279,ar,17212,fa,24030,ur,2338,ar,17658,fa,24154,ur,2411,ar,17400,fa,24169,ur,2184,ar,16978,fa,25995,ur,2275,ar,16874,fa,26028,ur,2329,ar,17445,fa,26208,ur,2444,ar,17122,fa,26159,ur,884986,ar,1509398,vi,1509398,is,634821,ar,1752123,fr,1752123,kn,937465,ar,1497702,sq,1497702,af,686416,ar,1732924,vi,1732924,is,3719516,ar,8529154,ur,8704166,hu,2459408,ar,10472236,fa,10474589,ur,3805456,ar,8599787,ur,8771657,pl,2401363,ar,10159508,fa,10164716,ur,4524265,ar,16303861,fa,16617936,ur,2226420,ar,18674805,fa,18767726,bn,4612145,ar,16680989,fa,16995146,ur,2147204,ar,17784991,fa,17874172,bn,1877786,ar,1992012,fr,1992012,kn,2192460,ar,2481153,hu,2481153,ja,1861165,ar,1996110,ur,1996110,fa,2184455,ar,2472076,sv,2472076,pt,14303220,ar,16242204,bn,16242204,de,15442307,ar,20853393,pl,20853393,de,14469893,ar,15984000,es,15984000,cr,15446943,ar,20484730,ja,20484730,hu,29503270,ar,35902592,fa,35902592,id,23253372,ar,43010946,ro,43010946,cs,29927514,ar,36362115,th,36362115,no,23097496,ar,41525216,bg,41525216,uk,
BG,133,bg,151,ru,3311,uk,144,bg,171,ru,3306,uk,154,bg,208,ru,3357,uk,165,bg,198,ru,3342,uk,150,bg,241,ru,3035,uk,150,bg,235,ru,2988,uk,172,bg,310,ru,3073,uk,189,bg,334,ru,3138,uk,147,bg,234,ru,517,uk,136,bg,229,ru,500,uk,174,bg,298,ru,700,uk,179,bg,334,ru,730,uk,382886,bg,531867,ru,1060205,uk,362652,bg,483206,ru,1026935,uk,367654,bg,579978,ru,1111150,uk,444203,bg,486204,ru,1126211,uk,327181,bg,1521065,ru,3389872,sr,457909,bg,1626335,ru,3511442,uk,351983,bg,1586146,ru,4146826,uk,459839,bg,1593765,ru,3404145,uk,163227,bg,2756415,ru,4745514,sr,105420,bg,2544507,ru,4765314,sr,192915,bg,2830330,ru,6285062,sr,430774,bg,2425362,ru,4877763,sr,2263277,bg,2692849,ru,3137966,uk,1786006,bg,2444611,ru,3417683,uk,2334327,bg,2888151,ru,3232802,uk,2055869,bg,2607866,ru,3553495,uk,10130838,bg,18160599,ru,22899227,uk,5540125,bg,16141137,ru,23591714,sr,11039849,bg,19462724,ru,22576494,uk,6259415,bg,16728811,ru,24709934,uk,13322360,bg,34700792,ru,45799639,sr,7163198,bg,28957740,ru,39562524,sr,15460577,bg,40464187,ru,49064803,sr,7269006,bg,30579400,ru,43207764,sr,
BN,3468,bn,56690,en,56696,bs,3518,bn,56471,en,56484,bs,3569,bn,56413,en,56425,bs,3609,bn,56196,en,56206,bs,1890,bn,95724,it,95742,is,1892,bn,95639,it,95661,is,1948,bn,94879,it,94890,is,1953,bn,94935,it,94966,hu,1835,bn,116796,nl,116805,sq,1860,bn,116267,sq,116285,it,1936,bn,116377,nl,116394,sq,2006,bn,115247,sq,115263,it,1022945,bn,1509398,ar,1509398,fr,793981,bn,1844340,fi,1844340,it,1003938,bn,1465836,vi,1465836,is,790170,bn,1792680,cs,1792680,ro,3529785,bn,8704166,he,8704166,ml,2179826,bn,11209560,da,11209560,bs,3501470,bn,8585026,sr,8585026,ko,2091475,bn,10683120,pl,10683120,de,5934928,bn,16979152,hu,16979152,ja,3389592,bn,20700960,fa,20700960,ur,5953469,bn,16986834,vi,16986834,is,3478415,bn,19343760,fa,19343760,ur,1995651,bn,2037285,la,2037285,bs,2178985,bn,2611740,pl,2611740,de,1931958,bn,1996110,he,1996110,ml,2165542,bn,2557320,de,2557320,pl,14234286,bn,16611345,nl,16611345,tr,12703214,bn,21950940,he,21950940,ml,13685147,bn,15984000,is,15984000,vi,12765385,bn,21191100,la,21191100,da,29758165,bn,36718560,kn,36718560,uk,22577911,bn,45274680,ml,45274680,he,29440377,bn,36362115,ml,36362115,he,21653049,bn,42957120,fi,42957120,it,
BS,107,bs,123,cr,147,cs,110,bs,125,cr,147,cs,130,bs,143,cr,166,cs,135,bs,145,cr,180,sr,113,bs,116,cr,142,cs,107,bs,119,cr,145,cs,122,bs,135,cr,174,cs,130,bs,140,cr,175,cs,104,bs,113,cr,138,cs,115,bs,117,cr,146,cs,124,bs,139,cr,168,cs,138,bs,139,cr,166,cs,124569,bs,244425,cr,444310,sr,94154,bs,222671,cr,452429,sr,140468,bs,281348,cr,506242,sr,101879,bs,226104,cr,481045,sr,246877,bs,303843,cr,730308,sr,241377,bs,645463,cr,924370,sr,257894,bs,493975,cr,765528,sr,239746,bs,635315,cr,917908,sr,61171,bs,487555,cr,977907,sr,56556,bs,909173,sr,1120144,cr,73237,bs,513706,cr,1033105,sr,63063,bs,891249,sr,1067531,cr,1584997,bs,2400981,cr,2717088,sr,1423503,bs,2097105,cr,2800027,sr,1739907,bs,2368323,cr,2797199,sr,1448200,bs,2192262,cr,2853123,sr,3412316,bs,10370787,cr,16003527,sr,2248330,bs,8432347,cr,17046428,sr,4927973,bs,11385578,cr,16350666,sr,3128256,bs,9638357,cr,17489548,sr,4923601,bs,17922436,cr,28945982,sr,2586813,bs,14671263,cr,27026945,sr,5965478,bs,21115269,cr,30371251,sr,3488337,bs,15493864,cr,27321537,sr,
CR,138,cr,153,bs,168,sr,130,cr,152,bs,154,sr,175,cr,176,sr,210,bs,177,cr,193,sr,201,bs,103,cr,148,bs,178,cs,115,cr,153,bs,185,cs,144,cr,209,bs,233,cs,145,cr,210,bs,236,cs,103,cr,150,bs,178,cs,111,cr,159,bs,180,cs,150,cr,212,bs,239,cs,163,cr,219,bs,235,cs,276540,cr,372106,sr,447086,bs,238086,cr,289812,bs,420467,sr,346894,cr,432901,sr,592203,bs,250455,cr,378736,bs,449248,sr,168049,bs,275542,cr,728648,sr,71481,cr,291442,bs,1049591,sr,479666,cr,573006,bs,943603,sr,84644,cr,319162,bs,1017489,sr,151442,bs,455464,cr,1319426,sr,70457,cr,120539,bs,1426938,hu,489834,cr,568191,bs,1717333,sr,86150,cr,157648,bs,1483450,sr,2149562,cr,2343606,sr,2477876,bs,1718809,cr,2249378,sr,2690659,bs,2167436,cr,2412482,sr,2617139,bs,1897102,cr,2351006,sr,2845274,bs,7154858,cr,11605964,sr,15034474,bs,4179581,cr,9380885,sr,12438583,bs,7591689,cr,12020680,sr,15903115,bs,4612661,cr,9780484,sr,13976887,bs,12756910,cr,22138983,sr,23355737,bs,6303743,cr,18624932,bs,18737401,sr,14039136,cr,23711812,sr,27321612,bs,6891571,cr,19365799,sr,22163332,bs,
CS,231,cs,507,pl,3445,nl,225,cs,516,pl,3425,nl,320,cs,649,pl,3504,nl,341,cs,687,pl,3557,nl,225,cs,561,is,689,pl,219,cs,553,is,557,pl,285,cs,775,is,832,pl,298,cs,719,pl,782,is,234,cs,624,is,746,nl,208,cs,538,is,661,nl,291,cs,759,is,864,nl,260,cs,714,is,802,nl,760545,cs,1465929,cr,1470913,hu,624066,cs,1440289,cr,1465436,nl,823486,cs,1590375,cr,1620277,bs,623501,cs,1523427,cr,1588721,bs,950590,cs,5563573,hu,6254604,bs,167255,cs,5803354,hu,6322352,nl,689024,cs,6506326,hu,7301262,bs,357896,cs,6288513,hu,6789932,nl,995375,cs,8903340,hu,11301802,bs,181676,cs,9256713,hu,9876021,nl,403026,cs,10904651,hu,12528530,bs,210590,cs,9711667,hu,10276461,nl,3145053,cs,3430343,pl,3518991,bs,3007656,cs,3949729,pl,4033793,bs,3204839,cs,3541271,pl,3622932,bs,3231881,cs,4154956,pl,4180843,bs,14332082,cs,26161703,cr,26261373,sr,7394971,cs,28595400,pl,29525624,bs,15210092,cs,26974001,cr,26991440,pl,8401542,cs,29343579,pl,30111391,bs,25660206,cs,54276882,cr,55864548,pl,10848099,cs,56595360,bs,57033611,pl,27849108,cs,57964565,cr,59250488,pl,11209914,cs,57624697,pl,59224046,bs,
DA,185,da,1706,no,1781,sv,179,da,1701,no,1775,sv,221,da,1713,no,1792,sv,211,da,1720,no,1803,sv,188,da,291,sv,303,no,180,da,284,sv,295,no,218,da,315,no,349,sv,211,da,313,no,347,sv,174,da,215,no,333,sv,170,da,238,no,318,sv,224,da,279,no,451,is,205,da,295,no,404,sv,290472,da,422136,no,540959,nl,176663,da,423846,no,455206,sv,319835,da,413974,no,597275,nl,205795,da,442816,no,502829,sv,511767,da,1560725,no,1632842,sv,445014,da,983541,no,1388652,sv,533121,da,1720376,no,1827939,sv,440017,da,947985,no,1507015,sv,123793,da,1949825,no,2718029,sv,63768,da,1439895,no,2161074,sv,146687,da,2681601,no,3466296,sv,76109,da,1672797,no,2048623,sv,1878718,da,1912087,no,2328019,id,1565633,da,1835140,no,2642041,nl,1848381,da,1917417,no,2375167,id,1674613,da,1838537,no,2645388,is,8831424,da,9599498,no,14768649,sv,5665081,da,8540235,no,14559992,sv,8881223,da,9227771,no,15548488,sv,6248272,da,8284327,no,15502853,sv,13768476,da,18922175,no,29183397,sv,5764223,da,15899678,no,25054670,sv,15019836,da,19684279,no,33178889,sv,6965513,da,15319385,no,26795988,sv,
DE,204,de,221,sv,225,fi,205,de,220,sv,224,fi,242,de,267,sv,288,fi,271,sv,280,de,282,fi,171,de,216,fi,217,sv,166,de,216,fi,217,sv,210,de,272,fi,272,sv,215,de,280,sv,288,fi,182,de,218,sv,221,fi,182,de,222,sv,224,fi,210,de,269,sv,272,fi,219,de,279,sv,285,fi,536722,de,713587,nl,871009,en,480727,de,698216,nl,723759,da,542743,de,810079,nl,894024,en,478650,de,642573,nl,741182,da,125578,de,2060665,nl,2351662,fr,102845,de,2006389,nl,2392778,da,505342,de,2458189,nl,2467941,en,288730,de,1940694,nl,2316159,da,137140,de,3133936,nl,3341633,ro,106024,de,2938277,no,3111868,pl,554160,de,3572617,nl,3764284,sq,436163,de,3004123,pl,3101921,no,2940265,de,3523327,no,3533392,da,2832551,de,3672406,da,3846785,nl,3048258,de,3516911,da,3551195,no,2879257,de,3675982,da,3880846,nl,7789263,de,23659673,nl,24933201,no,7267012,de,23333901,nl,25169082,da,8450473,de,24552693,nl,25510761,no,8221528,de,23399689,nl,25092532,da,13455363,de,46911987,nl,49283229,no,12521814,de,41846416,nl,46790997,da,14082550,de,52300237,nl,53212362,no,12894723,de,42178323,nl,45687966,da,
EL,160,el,18544,pt,27379,la,162,el,22929,pt,27251,la,200,el,20275,pt,27614,de,195,el,24571,pt,27508,de,140,el,6560,ru,17712,la,154,el,6518,ru,20291,sv,181,el,7279,ru,18195,la,182,el,7283,ru,23181,sv,145,el,3727,bg,4304,ru,141,el,3688,bg,4279,ru,187,el,4548,bg,5154,ru,180,el,4557,bg,5052,ru,338850,el,2212229,ja,2216271,ko,370025,el,2401407,de,2404003,cs,349452,el,2212956,ja,2215166,ko,378002,el,2394494,de,2395917,cs,721816,el,12336127,sv,12688340,la,497699,el,13358835,ru,14044532,no,728996,el,12545969,sv,12889986,la,502443,el,13447586,ru,13919137,no,889732,el,23323194,la,24038215,sv,145221,el,23623813,bg,23952217,ru,911424,el,24448792,la,24807202,sv,179542,el,23685271,ru,23974082,bg,1639072,el,3123837,de,3123837,bn,1610227,el,3569378,sq,3569378,pt,1726646,el,3149418,ro,3149418,cs,1771592,el,3580248,ar,3580248,fr,8093479,el,25470729,fr,25470729,ar,6164570,el,29999618,ro,29999618,cs,8232422,el,25219200,cs,25219200,ro,6268726,el,29667540,de,29667540,bn,12032619,el,56301792,ml,56301792,he,7191202,el,61875396,la,61875396,bs,12373218,el,57371337,ko,57371337,sr,7239998,el,60139968,la,60139968,bs,
